iter	Accuracy	MultiClass
0	0.8240264511	1.556042342
1	0.8763776635	1.318587367
2	0.8908890522	1.150865193
3	0.8891440118	1.027003206
4	0.8885929464	0.9272233226
5	0.8889603233	0.8460640083
6	0.891991183	0.7813735106
7	0.8950220426	0.7250945021
8	0.8972263042	0.6724822878
9	0.9018185158	0.6261532808
10	0.902277737	0.5877302402
11	0.908247612	0.5521480975
12	0.9101763409	0.5212278317
13	0.9108192506	0.4948655639
14	0.9102681852	0.4721993977
15	0.9130235121	0.4509428395
16	0.9143093314	0.4308915188
17	0.9144930198	0.412817466
18	0.9142174871	0.3976493091
19	0.9146767083	0.3828835555
20	0.9155951506	0.3685437858
21	0.9150440852	0.3565540091
22	0.9150440852	0.3452452922
23	0.9148603968	0.3350461312
24	0.916146216	0.326106803
25	0.917340191	0.3179616512
26	0.9174320353	0.3106567347
27	0.917707568	0.303119529
28	0.9176157237	0.2964805075
29	0.9181667891	0.289820877
30	0.9180749449	0.2841403882
31	0.9178912564	0.2787933633
32	0.9186260103	0.2734819902
33	0.9179831007	0.2692951037
34	0.9182586334	0.2653060982
35	0.9191770757	0.261819853
36	0.9204628949	0.2576840692
37	0.9210139603	0.2536260916
38	0.9215650257	0.2500622863
39	0.9219324026	0.2468504528
40	0.9222997796	0.2441399021
41	0.9229426892	0.241340155
42	0.9227590007	0.2389744896
43	0.9226671565	0.2363237976
44	0.9232182219	0.2338578584
45	0.9233100661	0.23190149
46	0.9241366642	0.2299362356
47	0.9244121969	0.2284951422
48	0.9246877296	0.2265662451
49	0.9251469508	0.2247043884
50	0.9251469508	0.2227066433
51	0.9253306392	0.2207890644
52	0.9253306392	0.2191698663
53	0.9258817046	0.2175692836
54	0.9259735489	0.2162151908
55	0.9259735489	0.214857665
56	0.9259735489	0.2137802618
57	0.9257898604	0.2125790616
58	0.9262490816	0.2111380598
59	0.9263409258	0.2097860144
60	0.9261572373	0.2090062801
61	0.9262490816	0.2078223521
62	0.9266164585	0.2067727914
63	0.9267083027	0.2056100828
64	0.9272593681	0.2044968728
65	0.9277185893	0.2034127682
66	0.9278104335	0.2023863882
67	0.9275349008	0.2016996877
68	0.9283614989	0.2006702118
69	0.9282696547	0.2000735701
70	0.9288207201	0.1994201837
71	0.9289125643	0.1985836648
72	0.9289125643	0.1975697559
73	0.9294636297	0.1969550763
74	0.9292799412	0.1962209025
75	0.9294636297	0.1955289131
76	0.9294636297	0.1944439024
77	0.9294636297	0.1937929467
78	0.9301065393	0.1931442187
79	0.9301065393	0.1924633987
80	0.9298310066	0.1919449297
81	0.9298310066	0.1912552332
82	0.9297391624	0.1906564575
83	0.930382072	0.1900897456
84	0.9308412932	0.1893582212
85	0.9312086701	0.1888799377
86	0.9313005143	0.1883434631
87	0.9313923586	0.187788905
88	0.9313923586	0.1872959461
89	0.9313005143	0.1866185881
90	0.931943424	0.1860751109
91	0.9318515797	0.1858061035
92	0.9320352682	0.1853605036
93	0.9321271124	0.1850886189
94	0.9326781778	0.1845326452
