iter	Passed	Remaining
0	15	15742
1	29	14779
2	44	14804
3	59	14837
4	76	15153
5	94	15587
6	109	15476
7	123	15327
8	138	15228
9	152	15072
10	166	14955
11	180	14843
12	195	14854
13	209	14775
14	224	14732
15	239	14748
16	253	14679
17	268	14648
18	284	14679
19	299	14679
20	314	14664
21	328	14611
22	344	14635
23	360	14642
24	377	14721
25	396	14844
26	411	14826
27	426	14821
28	442	14815
29	458	14827
30	474	14828
31	490	14849
32	506	14852
33	523	14876
34	539	14868
35	555	14880
36	571	14878
37	589	14912
38	605	14911
39	621	14908
40	636	14896
41	652	14882
42	668	14878
43	682	14837
44	698	14814
45	713	14796
46	728	14780
47	743	14751
48	757	14706
49	771	14661
50	786	14627
51	802	14637
52	819	14646
53	834	14620
54	848	14585
55	864	14566
56	879	14549
57	895	14539
58	910	14516
59	926	14508
60	941	14498
61	961	14544
62	977	14538
63	997	14592
64	1018	14643
65	1038	14693
66	1063	14810
67	1082	14843
68	1147	15479
69	1173	15596
70	1192	15605
71	1209	15586
72	1226	15579
73	1244	15572
74	1260	15551
75	1277	15537
76	1293	15507
77	1310	15494
78	1327	15473
79	1345	15471
80	1361	15445
81	1376	15411
82	1393	15392
83	1409	15373
84	1428	15376
85	1443	15343
86	1459	15320
87	1476	15297
88	1493	15290
89	1510	15269
90	1525	15242
91	1542	15222
92	1558	15195
93	1574	15179
94	1591	15158
95	1607	15138
96	1623	15117
97	1639	15091
98	1655	15062
99	1669	15025
100	1687	15017
101	1703	15000
102	1720	14987
103	1737	14968
104	1752	14935
105	1767	14905
106	1783	14884
107	1800	14872
108	1816	14850
109	1831	14821
110	1848	14803
111	1865	14790
112	1881	14766
113	1896	14740
114	1911	14713
115	1927	14689
116	1942	14659
117	1958	14641
118	1973	14614
119	1989	14588
120	2005	14566
121	2021	14545
122	2035	14510
123	2048	14468
124	2062	14436
125	2077	14413
126	2093	14389
127	2108	14367
128	2124	14346
129	2140	14325
130	2155	14301
131	2170	14274
132	2186	14254
133	2201	14228
134	2215	14196
135	2229	14166
136	2244	14140
137	2258	14108
138	2273	14079
139	2288	14056
140	2303	14032
141	2318	14010
142	2335	13994
143	2350	13972
144	2364	13941
145	2378	13909
146	2393	13887
147	2407	13860
148	2423	13842
149	2439	13825
150	2454	13802
151	2469	13778
152	2484	13752
153	2499	13730
154	2514	13705
155	2527	13674
156	2541	13648
157	2557	13627
158	2571	13601
159	2586	13576
160	2601	13555
161	2616	13535
162	2631	13514
163	2658	13554
164	2674	13532
165	2687	13504
166	2702	13480
167	2719	13466
168	2733	13443
169	2748	13420
170	2762	13394
171	2777	13368
172	2791	13342
173	2807	13327
174	2822	13304
175	2836	13281
176	2851	13259
177	2867	13242
178	2881	13218
179	2896	13194
180	2911	13172
181	2924	13145
182	2939	13124
183	2954	13102
184	2969	13084
185	2984	13061
186	3001	13047
187	3016	13027
188	3031	13009
189	3046	12989
190	3062	12970
191	3076	12946
192	3091	12925
193	3105	12903
194	3121	12884
195	3135	12863
196	3151	12845
197	3165	12822
198	3181	12805
199	3196	12785
200	3211	12764
201	3225	12743
202	3239	12717
203	3253	12696
204	3268	12675
205	3285	12662
206	3299	12639
207	3314	12618
208	3329	12602
209	3344	12583
210	3359	12561
